Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
SUNTEC CITY,"5,125,000","2,131.27","2,405",29 Oct 2018,7 TEMASEK BOULEVARD #19-02,Resale,Strata,198,"25,884",Office,99 yrs from 01/03/1989,01,03,038987,Central Region,Downtown Core
THE PLAZA,"590,000",527.44,"1,119",30 Oct 2018,7500A BEACH ROAD #10-303,Resale,Strata,49,"12,041",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
CITY PLAZA,"680,000",182.99,"3,716",30 Oct 2018,810 GEYLANG ROAD #01-33,Resale,Strata,17,"40,000",Office,Freehold,14,40,409286,Central Region,Geylang
WOODS SQUARE,"1,052,923",559.73,"1,881",30 Oct 2018,12 WOODLANDS SQUARE #02-81,New Sale,Strata,52,"20,249",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
ORCHARD PLAZA,"421,000",193.75,"2,173",01 Nov 2018,150 ORCHARD ROAD #04-47,Resale,Strata,18,"23,389",Office,99 yrs from 02/06/1977,09,23,238841,Central Region,Orchard
SOUTHBANK,"1,460,000",914.94,"1,596",01 Nov 2018,883 NORTH BRIDGE ROAD #04-05,Resale,Strata,85,"17,176",Office,99 yrs from 27/01/2006,07,19,198785,Central Region,Kallang
PAYA LEBAR SQUARE,"1,000,000",538.2,"1,858",02 Nov 2018,60 PAYA LEBAR ROAD #09-10,Resale,Strata,50,"20,000",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PENINSULA PLAZA,"2,397,600","1,184.04","2,025",02 Nov 2018,111 NORTH BRIDGE ROAD #10-03,Resale,Strata,110,"21,796",Office,999 yrs from 29/10/1829,06,17,179098,Central Region,Downtown Core
THE PLAZA,"450,000",398.27,"1,130",05 Nov 2018,7500A BEACH ROAD #10-304,Resale,Strata,37,"12,162",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
JALAN BESAR PLAZA,"1,500,000","1,151.75","1,302",07 Nov 2018,101 KITCHENER ROAD #03-12,Resale,Strata,107,"14,019",Office,Freehold,08,20,208511,Central Region,Kallang
THE OCTAGON,"9,415,350","3,842.75","2,450",07 Nov 2018,105 CECIL STREET #06-01,Resale,Strata,357,"26,374",Office,Freehold,01,06,069534,Central Region,Downtown Core
ORCHARD TOWERS,"888,000",452.09,"1,964",08 Nov 2018,400 ORCHARD ROAD #06-14,Resale,Strata,42,"21,143",Office,Freehold,09,23,238875,Central Region,Orchard
PENINSULA PLAZA,"1,265,000",505.91,"2,500",08 Nov 2018,111 NORTH BRIDGE ROAD #02-46,Resale,Strata,47,"26,915",Office,999 yrs from 29/10/1829,06,17,179098,Central Region,Downtown Core
PAYA LEBAR SQUARE,"1,010,000",516.67,"1,955",12 Nov 2018,60 PAYA LEBAR ROAD #13-39,Resale,Strata,48,"21,042",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
THE PLAZA,"485,000",430.56,"1,126",12 Nov 2018,7500A BEACH ROAD #10-305,Resale,Strata,40,"12,125",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
SOUTHBANK,"1,050,000",688.9,"1,524",13 Nov 2018,883 NORTH BRIDGE ROAD #05-01,Resale,Strata,64,"16,406",Office,99 yrs from 27/01/2006,07,19,198785,Central Region,Kallang
FORTUNE CENTRE,"1,540,000","1,076.4","1,431",13 Nov 2018,190 MIDDLE ROAD #18-02,Resale,Strata,100,"15,400",Office,99 yrs from 18/10/1980,07,18,188979,Central Region,Rochor
PAYA LEBAR SQUARE,"968,000",484.38,"1,998",16 Nov 2018,60 PAYA LEBAR ROAD #09-21,Resale,Strata,45,"21,511",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PENINSULA PLAZA,"5,940,000","2,970.86","1,999",19 Nov 2018,"111 NORTH BRIDGE ROAD #13-01,02",Resale,Strata,276,"21,522",Office,999 yrs from 29/10/1829,06,17,179098,Central Region,Downtown Core
THE CENTRAL,"1,580,000",635.08,"2,488",19 Nov 2018,12 EU TONG SEN STREET #07-167,Resale,Strata,59,"26,780",Office,99 yrs from 02/01/2001,01,05,059819,Central Region,Singapore River
GOLDEN WALL CENTRE,"276,200,000","24,239.45","11,395",23 Nov 2018,"89 ENBLOC SHORT STREET #01-01,04,05 ETC",Resale,Land,"2,251.9","122,652",Office,Freehold,07,18,188216,Central Region,Rochor
SHENTON HOUSE,"1,680,000","1,140.98","1,472",23 Nov 2018,3 SHENTON WAY #03-07,Resale,Strata,106,"15,849",Office,99 yrs from 02/06/1969,01,06,068805,Central Region,Downtown Core
TANGLIN SHOPPING CENTRE,"942,000",344.45,"2,735",23 Nov 2018,19 TANGLIN ROAD #06-54,Resale,Strata,32,"29,438",Office,Freehold,10,24,247909,Central Region,Orchard
SIM LIM TOWER,"1,596,000",839.59,"1,901",26 Nov 2018,10 JALAN BESAR #12-04,Resale,Strata,78,"20,462",Office,Freehold,08,20,208787,Central Region,Rochor
INTERNATIONAL PLAZA,"322,920",161.46,"2,000",27 Nov 2018,10 ANSON ROAD #30-18,Resale,Strata,15,"21,528",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
GUTHRIE BUILDING,"2,048,389","1,862.17","1,100",29 Nov 2018,150 CHANGI ROAD #03-06,Resale,Strata,173,"11,840",Office,Freehold,14,41,419973,Central Region,Geylang
INTERNATIONAL PLAZA,"994,600",473.62,"2,100",30 Nov 2018,10 ANSON ROAD #10-01,Resale,Strata,44,"22,605",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
INTERNATIONAL PLAZA,"971,990",462.85,"2,100",30 Nov 2018,10 ANSON ROAD #10-02,Resale,Strata,43,"22,604",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
HIGH STREET CENTRE,"360,000",269.1,"1,338",30 Nov 2018,1 NORTH BRIDGE ROAD #B1-28,Resale,Strata,25,"14,400",Office,99 yrs from 02/06/1969,06,17,179094,Central Region,Downtown Core
SOUTHBANK,"1,398,000",914.94,"1,528",03 Dec 2018,883 NORTH BRIDGE ROAD #03-05,Resale,Strata,85,"16,447",Office,99 yrs from 27/01/2006,07,19,198785,Central Region,Kallang
GOLDEN MILE TOWER,"639,000",355.21,"1,799",03 Dec 2018,6001 BEACH ROAD #01-38,Resale,Strata,33,"19,364",Office,99 yrs from 09/06/1969,07,19,199589,Central Region,Kallang
THE PROMENADE@PELIKAT,"310,999",161.46,"1,926",04 Dec 2018,183 JALAN PELIKAT #B2-10,Resale,Strata,15,"20,733",Office,Freehold,19,53,537643,North East Region,Hougang
HIGH STREET CENTRE,"1,493,400",785.77,"1,901",05 Dec 2018,1 NORTH BRIDGE ROAD #11-10,Resale,Strata,73,"20,458",Office,99 yrs from 02/06/1969,06,17,179094,Central Region,Downtown Core
HIGH STREET PLAZA,"1,040,000",452.09,"2,300",05 Dec 2018,77 HIGH STREET #03-17,Resale,Strata,42,"24,762",Office,999 yrs from 11/06/1827,06,17,179433,Central Region,Downtown Core
TEXTILE CENTRE,"838,000",882.65,949,05 Dec 2018,200 JALAN SULTAN #09-07,Resale,Strata,82,"10,220",Office,99 yrs from 02/06/1970,07,19,199018,Central Region,Kallang
INTERNATIONAL PLAZA,"2,485,000","1,453.14","1,710",05 Dec 2018,10 ANSON ROAD #17-12,Resale,Strata,135,"18,407",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
ROBINSON SQUARE,"3,200,000","1,184.04","2,703",07 Dec 2018,144 ROBINSON ROAD #13-02,Resale,Strata,110,"29,091",Office,Freehold,01,06,068908,Central Region,Downtown Core
BUKIT TIMAH SHOPPING CENTRE,"565,000",161.46,"3,499",10 Dec 2018,170 UPPER BUKIT TIMAH ROAD #02-13,Resale,Strata,15,"37,667",Office,999 yrs from 17/12/1883,21,58,588179,Central Region,Bukit Timah
CHINATOWN POINT,"2,800,000","1,442.38","1,941",10 Dec 2018,"133 NEW BRIDGE ROAD #08-05,06",Resale,Strata,134,"20,896",Office,99 yrs from 12/11/1980,01,05,059413,Central Region,Outram
SUNTEC CITY,"6,569,900","2,066.69","3,179",11 Dec 2018,8 TEMASEK BOULEVARD #43-03,Resale,Strata,192,"34,218",Office,99 yrs from 01/03/1989,01,03,038988,Central Region,Downtown Core
PS100,"1,150,000",473.62,"2,428",12 Dec 2018,100 PECK SEAH STREET #08-16,Resale,Strata,44,"26,136",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
PEOPLE'S PARK CENTRE,"850,000",387.5,"2,194",13 Dec 2018,101 UPPER CROSS STREET #03-85,Resale,Strata,36,"23,611",Office,99 yrs from 02/06/1970,01,05,058357,Central Region,Outram
CAVAN SUITES,"918,000",387.5,"2,369",14 Dec 2018,11 CAVAN ROAD #01-02,Resale,Strata,36,"25,500",Office,Freehold,08,20,209848,Central Region,Kallang
REGENCY SUITES,"1,609,000","1,001.05","1,607",17 Dec 2018,38 KIM TIAN ROAD #06-09,Resale,Strata,93,"17,301",Office,Freehold,03,16,169262,Central Region,Bukit Merah
GOLDEN MILE TOWER,"478,000",236.81,"2,019",19 Dec 2018,6001 BEACH ROAD #01-04,Resale,Strata,22,"21,727",Office,99 yrs from 09/06/1969,07,19,199589,Central Region,Kallang
THE CENTRAL,"2,222,400",925.7,"2,401",19 Dec 2018,8 EU TONG SEN STREET #20-85,Resale,Strata,86,"25,842",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
HIGH STREET PLAZA,"1,580,000",775.01,"2,039",20 Dec 2018,77 HIGH STREET #03-06,Resale,Strata,72,"21,944",Office,999 yrs from 11/06/1827,06,17,179433,Central Region,Downtown Core
THE GOLDEN LANDMARK,"750,000",355.21,"2,111",21 Dec 2018,390 VICTORIA STREET #03-04,Resale,Strata,33,"22,727",Office,99 yrs from 30/04/1981,07,18,188061,Central Region,Rochor
HIGH STREET CENTRE,"960,750",548.96,"1,750",21 Dec 2018,1 NORTH BRIDGE ROAD #18-03,Resale,Strata,51,"18,838",Office,99 yrs from 02/06/1969,06,17,179094,Central Region,Downtown Core
SULTAN PLAZA,"738,416",527.44,"1,400",21 Dec 2018,100 JALAN SULTAN #02-44,Resale,Strata,49,"15,070",Office,99 yrs from 02/05/1978,07,19,199001,Central Region,Kallang
PAYA LEBAR SQUARE,"1,000,000",505.91,"1,977",21 Dec 2018,60 PAYA LEBAR ROAD #12-40,Resale,Strata,47,"21,277",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
THE CENTRAL,"2,869,750",882.65,"3,251",26 Dec 2018,8 EU TONG SEN STREET #18-92,Resale,Strata,82,"34,997",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
THE PLAZA,"362,000",312.16,"1,160",27 Dec 2018,7500A BEACH ROAD #04-310,Resale,Strata,29,"12,483",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
N.A.,"3,300,000","1,603.84","2,058",27 Dec 2018,36 ARMENIAN STREET #04-02,Resale,Strata,149,"22,148",Office,99 yrs from 21/09/2007,06,17,179934,Central Region,Museum
PAYA LEBAR SQUARE,"1,550,000",721.19,"2,149",03 Jan 2019,60 PAYA LEBAR ROAD #05-07,Resale,Strata,67,"23,134",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
INTERNATIONAL PLAZA,"940,000",473.62,"1,985",09 Jan 2019,10 ANSON ROAD #20-04A,Resale,Strata,44,"21,364",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
THE OCTAGON,"45,489,150","18,567.9","2,450",10 Jan 2019,"105 CECIL STREET #14-01,02,03,04 ETC",Resale,Strata,"1,725","26,371",Office,Freehold,01,06,069534,Central Region,Downtown Core
PARKLANE SHOPPING MALL,"813,020",688.9,"1,180",14 Jan 2019,35 SELEGIE ROAD #10-06,Resale,Strata,64,"12,703",Office,99 yrs from 01/12/1974,07,18,188307,Central Region,Rochor
TONG ENG BUILDING,"3,190,200","1,227.1","2,600",14 Jan 2019,101 CECIL STREET #16-12,Resale,Strata,114,"27,984",Office,999 yrs from 08/06/1885,01,06,069533,Central Region,Downtown Core
TONG ENG BUILDING,"1,155,000",462.85,"2,495",15 Jan 2019,101 CECIL STREET #13-04,Resale,Strata,43,"26,860",Office,999 yrs from 08/06/1885,01,06,069533,Central Region,Downtown Core
INTERNATIONAL PLAZA,"998,000",462.85,"2,156",17 Jan 2019,10 ANSON ROAD #18-10,Resale,Strata,43,"23,209",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
N.A.,"11,000,000","10,360.35","1,062",25 Jan 2019,"45,45A MACPHERSON ROAD",Resale,Land,962.5,"11,429",Office,99 yrs from 01/11/1983,13,34,348469,Central Region,Toa Payoh
HIGH STREET PLAZA,"895,000",398.27,"2,247",30 Jan 2019,77 HIGH STREET #04-12,Resale,Strata,37,"24,189",Office,999 yrs from 11/06/1827,06,17,179433,Central Region,Downtown Core
PAYA LEBAR SQUARE,"1,674,240",871.88,"1,920",30 Jan 2019,60 PAYA LEBAR ROAD #11-27,Resale,Strata,81,"20,670",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
BURLINGTON SQUARE,"990,000",581.26,"1,703",01 Feb 2019,175A BENCOOLEN STREET #07-01,Resale,Strata,54,"18,333",Office,99 yrs from 10/06/1996,07,18,189650,Central Region,Rochor
THE CENTRAL,"2,850,000","1,216.33","2,343",01 Feb 2019,8 EU TONG SEN STREET #16-81,Resale,Strata,113,"25,221",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
THE CENTRAL,"1,480,000",613.55,"2,412",07 Feb 2019,6 EU TONG SEN STREET #12-05,Resale,Strata,57,"25,965",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
PARKLANE SHOPPING MALL,"480,000",452.09,"1,062",08 Feb 2019,35 SELEGIE ROAD #10-23,Resale,Strata,42,"11,429",Office,99 yrs from 01/12/1974,07,18,188307,Central Region,Rochor
THE CENTRAL,"2,028,888",925.7,"2,192",08 Feb 2019,8 EU TONG SEN STREET #22-84,Resale,Strata,86,"23,592",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
CHINATOWN POINT,"4,458,407","2,346.55","1,900",11 Feb 2019,"133 NEW BRIDGE ROAD #25-01,02",Resale,Strata,218,"20,451",Office,99 yrs from 12/11/1980,01,05,059413,Central Region,Outram
THE PLAZA,"1,429,000","1,313.21","1,088",12 Feb 2019,7500A BEACH ROAD #15-301,Resale,Strata,122,"11,713",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
TONG ENG BUILDING,"1,560,000",602.78,"2,588",13 Feb 2019,101 CECIL STREET #16-06,Resale,Strata,56,"27,857",Office,999 yrs from 08/06/1885,01,06,069533,Central Region,Downtown Core
WOODS SQUARE,"1,981,900","1,033.34","1,918",14 Feb 2019,10 WOODLANDS SQUARE #04-41,New Sale,Strata,96,"20,645",Office,99 yrs from 15/07/2014,25,73,737714,North Region,Woodlands
PAYA LEBAR SQUARE,"1,134,888",548.96,"2,067",14 Feb 2019,60 PAYA LEBAR ROAD #08-11,Resale,Strata,51,"22,253",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
CONCORDE SHOPPING CENTRE,"312,000",215.28,"1,449",15 Feb 2019,317 OUTRAM ROAD #02-52,Resale,Strata,20,"15,600",Office,99 yrs from 16/06/1980,03,16,169075,Central Region,Bukit Merah
HIGH STREET PLAZA,"1,151,920",484.38,"2,378",18 Feb 2019,77 HIGH STREET #05-10,Resale,Strata,45,"25,598",Office,999 yrs from 11/06/1827,06,17,179433,Central Region,Downtown Core
ORCHARD PLAZA,"350,000",226.04,"1,548",21 Feb 2019,150 ORCHARD ROAD #07-10,Resale,Strata,21,"16,667",Office,99 yrs from 02/06/1977,09,23,238841,Central Region,Orchard
INTERNATIONAL PLAZA,"960,000",462.85,"2,074",21 Feb 2019,10 ANSON ROAD #15-14,Resale,Strata,43,"22,326",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
SUNTEC CITY,"8,000,000","3,509.06","2,280",22 Feb 2019,9 TEMASEK BOULEVARD #15-02A,Resale,Strata,326,"24,540",Office,99 yrs from 01/03/1989,01,03,038989,Central Region,Downtown Core
THE CENTRAL,"5,120,000","1,765.3","2,900",22 Feb 2019,"8 EU TONG SEN STREET #11-91,92",Resale,Strata,164,"31,220",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
THE PLAZA,"1,100,000",882.65,"1,246",25 Feb 2019,"7500A BEACH ROAD #08-311,312",Resale,Strata,82,"13,415",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
THE CENTRAL,"2,869,750",882.65,"3,251",27 Feb 2019,8 EU TONG SEN STREET #18-93,Resale,Strata,82,"34,997",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
MANHATTAN HOUSE,"780,000",613.55,"1,271",27 Feb 2019,151 CHIN SWEE ROAD #02-23,Resale,Strata,57,"13,684",Office,99 yrs from 15/10/1969,03,16,169876,Central Region,Outram
TEXTILE CENTRE,"848,000",882.65,961,04 Mar 2019,200 JALAN SULTAN #11-06,Resale,Strata,82,"10,341",Office,99 yrs from 02/06/1970,07,19,199018,Central Region,Kallang
THE CENTRAL,"42,011,550","13,336.6","3,150",04 Mar 2019,8 EU TONG SEN STREET #24-89,Resale,Strata,"1,239","33,908",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
SBF CENTER,"4,300,000","1,323.97","3,248",05 Mar 2019,160 ROBINSON ROAD #16-06,Resale,Strata,123,"34,959",Office,99 yrs from 21/12/2011,01,06,068914,Central Region,Downtown Core
INTERNATIONAL PLAZA,"925,000",462.85,"1,998",05 Mar 2019,10 ANSON ROAD #09-15,Resale,Strata,43,"21,512",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
N.A.,"1,500,000",947.23,"1,584",07 Mar 2019,25 HOOT KIAM ROAD,Resale,Strata,88,"17,045",Office,Freehold,10,24,249407,Central Region,Tanglin
PAYA LEBAR SQUARE,"990,000",484.38,"2,044",08 Mar 2019,60 PAYA LEBAR ROAD #10-22,Resale,Strata,45,"22,000",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
HIGH STREET PLAZA,"730,000",312.16,"2,339",08 Mar 2019,77 HIGH STREET #09-14,Resale,Strata,29,"25,172",Office,999 yrs from 11/06/1827,06,17,179433,Central Region,Downtown Core
PAYA LEBAR SQUARE,"1,025,000",548.96,"1,867",11 Mar 2019,60 PAYA LEBAR ROAD #11-11,Resale,Strata,51,"20,098",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
SUNSHINE PLAZA,"1,985,000","1,097.93","1,808",11 Mar 2019,91 BENCOOLEN STREET #10-03,Resale,Strata,102,"19,461",Office,99 yrs from 19/03/1997,07,18,189652,Central Region,Rochor
BUKIT TIMAH SHOPPING CENTRE,"1,530,000","1,248.62","1,225",11 Mar 2019,170 UPPER BUKIT TIMAH ROAD #10-03,Resale,Strata,116,"13,190",Office,999 yrs from 17/12/1883,21,58,588179,Central Region,Bukit Timah
HAVELOCK2,"2,786,000","1,603.84","1,737",12 Mar 2019,2 HAVELOCK ROAD #04-18,Resale,Strata,149,"18,698",Office,99 yrs from 04/05/1983,01,05,059763,Central Region,Singapore River
THE GOLDEN LANDMARK,"480,000",279.86,"1,715",12 Mar 2019,390 VICTORIA STREET #02-15,Resale,Strata,26,"18,462",Office,99 yrs from 30/04/1981,07,18,188061,Central Region,Rochor
HAVELOCK2,"1,092,000",635.08,"1,719",12 Mar 2019,2 HAVELOCK ROAD #04-17,Resale,Strata,59,"18,508",Office,99 yrs from 04/05/1983,01,05,059763,Central Region,Singapore River
CHINATOWN POINT,"2,110,000","1,054.87","2,000",13 Mar 2019,133 NEW BRIDGE ROAD #10-03,Resale,Strata,98,"21,531",Office,99 yrs from 12/11/1980,01,05,059413,Central Region,Outram
FOOK HAI BUILDING,"1,700,000","1,496.2","1,136",14 Mar 2019,150 SOUTH BRIDGE ROAD #02-30,Resale,Strata,139,"12,230",Office,99 yrs from 18/01/1972,01,05,058727,Central Region,Outram
PARKLANE SHOPPING MALL,"310,000",247.57,"1,252",15 Mar 2019,35 SELEGIE ROAD #04-22,Resale,Strata,23,"13,478",Office,99 yrs from 01/12/1974,07,18,188307,Central Region,Rochor
PENINSULA PLAZA,"3,907,200","1,776.06","2,200",15 Mar 2019,111 NORTH BRIDGE ROAD #14-05,Resale,Strata,165,"23,680",Office,999 yrs from 29/10/1829,06,17,179098,Central Region,Downtown Core
HOA NAM BUILDING,"1,300,000",721.19,"1,803",15 Mar 2019,27 FOCH ROAD #02-06,Resale,Strata,67,"19,403",Office,Freehold,08,20,209264,Central Region,Kallang
THE PLAZA,"2,200,000","2,174.33","1,012",15 Mar 2019,"7500A BEACH ROAD #09-301,302",Resale,Strata,202,"10,891",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
CONCORDE SHOPPING CENTRE,"433,888",333.68,"1,300",18 Mar 2019,317 OUTRAM ROAD #02-28,Resale,Strata,31,"13,996",Office,99 yrs from 16/06/1980,03,16,169075,Central Region,Bukit Merah
CENTROPOD @ CHANGI,"720,000",484.38,"1,486",19 Mar 2019,80 CHANGI ROAD #03-15,Resale,Strata,45,"16,000",Office,Freehold,14,41,419715,Central Region,Geylang
CENTRIUM SQUARE,"1,450,000",570.49,"2,542",20 Mar 2019,320 SERANGOON ROAD #10-03,New Sale,Strata,53,"27,358",Office,Freehold,08,21,218108,Central Region,Kallang
SOHO LIFE,"600,000",441.32,"1,360",20 Mar 2019,216 JOO CHIAT ROAD #03-19,Resale,Strata,41,"14,634",Office,Freehold,15,42,427483,Central Region,Geylang
THE PLAZA,"768,000",678.13,"1,133",20 Mar 2019,7500A BEACH ROAD #04-306,Resale,Strata,63,"12,190",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
ROBINSON SQUARE,"3,200,000","1,184.04","2,703",21 Mar 2019,144 ROBINSON ROAD #06-02,Resale,Strata,110,"29,091",Office,Freehold,01,06,068908,Central Region,Downtown Core
THE PLAZA,"900,000",721.19,"1,248",22 Mar 2019,7500A BEACH ROAD #15-323,Resale,Strata,67,"13,433",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
HOUGANG GREEN SHOPPING MALL,"958,000",269.1,"3,560",22 Mar 2019,21 HOUGANG STREET 51 #01-14,Resale,Strata,25,"38,320",Office,99 yrs from 01/12/1994,19,53,538719,North East Region,Hougang
SUNTEC CITY,"5,204,082","2,195.86","2,370",25 Mar 2019,7 TEMASEK BOULEVARD #37-02,Resale,Strata,204,"25,510",Office,99 yrs from 01/03/1989,01,03,038987,Central Region,Downtown Core
SUNTEC CITY,"7,295,918","3,078.5","2,370",25 Mar 2019,7 TEMASEK BOULEVARD #37-03,Resale,Strata,286,"25,510",Office,99 yrs from 01/03/1989,01,03,038987,Central Region,Downtown Core
HIGH STREET PLAZA,"960,000",387.5,"2,477",26 Mar 2019,77 HIGH STREET #05-13,Resale,Strata,36,"26,667",Office,999 yrs from 11/06/1827,06,17,179433,Central Region,Downtown Core
HAVELOCK2,"777,000",398.27,"1,951",26 Mar 2019,2 HAVELOCK ROAD #05-02,Resale,Strata,37,"21,000",Office,99 yrs from 04/05/1983,01,05,059763,Central Region,Singapore River
HIGH STREET CENTRE,"2,150,000","1,097.93","1,958",27 Mar 2019,1 NORTH BRIDGE ROAD #13-05,Resale,Strata,102,"21,078",Office,99 yrs from 02/06/1969,06,17,179094,Central Region,Downtown Core
PEOPLE'S PARK COMPLEX,"2,189,397","1,216.33","1,800",27 Mar 2019,1 PARK ROAD #04-63,Resale,Strata,113,"19,375",Office,99 yrs from 25/03/1968,01,05,059108,Central Region,Outram
HIGH STREET CENTRE,"1,473,750",785.77,"1,876",28 Mar 2019,1 NORTH BRIDGE ROAD #15-10,Resale,Strata,73,"20,188",Office,99 yrs from 02/06/1969,06,17,179094,Central Region,Downtown Core
SUNSHINE PLAZA,"6,921,740","3,616.7","1,914",28 Mar 2019,"91 BENCOOLEN STREET #04-03,04,05,06,07",Resale,Strata,336,"20,600",Office,99 yrs from 19/03/1997,07,18,189652,Central Region,Rochor
THE CENTRAL,"1,480,000",635.08,"2,330",29 Mar 2019,12 EU TONG SEN STREET #08-168,Resale,Strata,59,"25,085",Office,99 yrs from 02/01/2001,01,05,059819,Central Region,Singapore River
HAVELOCK2,"484,200",333.68,"1,451",01 Apr 2019,2 HAVELOCK ROAD #04-23,Resale,Strata,31,"15,619",Office,99 yrs from 04/05/1983,01,05,059763,Central Region,Singapore River
LIANG SEAH COURT,"1,110,000",592.02,"1,875",01 Apr 2019,8 LIANG SEAH STREET #02-03,Resale,Strata,55,"20,182",Office,999 yrs from 25/01/1827,07,18,189029,Central Region,Downtown Core
PAYA LEBAR SQUARE,"1,060,000",548.96,"1,931",01 Apr 2019,60 PAYA LEBAR ROAD #11-12,Resale,Strata,51,"20,784",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
SIM LIM TOWER,"1,288,000",731.95,"1,760",02 Apr 2019,10 JALAN BESAR #07-06,Resale,Strata,68,"18,941",Office,Freehold,08,20,208787,Central Region,Rochor
SUNTEC CITY,"9,036,700","3,928.86","2,300",02 Apr 2019,7 TEMASEK BOULEVARD #06-03,Resale,Strata,365,"24,758",Office,99 yrs from 01/03/1989,01,03,038987,Central Region,Downtown Core
